epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.63652,0.77822,3.03966,0.99858,0.97654,0.42318,0.5236,0.45801,0.50909,0.96929,0.8445,0,0,0
2,4.28699,0.77326,2.47192,1.04256,0.97592,0.41177,0.51933,0.45373,0.51105,0.98241,0.84512,1.6505e-05,1.6505e-05,1.6505e-05
3,4.92606,0.76217,2.50497,1.03878,0.96288,0.40625,0.50808,0.44437,0.5126,0.99692,0.84606,3.26799e-05,3.26799e-05,3.26799e-05
4,5.56634,0.78697,2.99666,1.0473,0.94633,0.39583,0.50438,0.44037,0.51496,1.00347,0.84686,4.85247e-05,4.85247e-05,4.85247e-05
5,6.70713,0.80161,2.58441,1.05342,0.98647,0.37443,0.50228,0.43938,0.51397,1.01322,0.84715,6.40395e-05,6.40395e-05,6.40395e-05
6,7.33045,0.72226,2.52328,1.02463,0.97913,0.5,0.5699,0.51227,0.44908,2.50549,0.83579,7.92242e-05,7.92242e-05,7.92242e-05
7,8.97065,0.55393,1.09384,0.92897,0.74612,1,0.89782,0.80782,0.47403,2.99285,0.84143,9.40788e-05,9.40788e-05,9.40788e-05
8,10.8203,0.58347,0.62838,0.88226,0.74781,1,0.90047,0.80772,0.53359,1.23522,0.86007,0.000108603,0.000108603,0.000108603
9,11.8026,0.56715,0.60838,0.87279,0.58108,0.75,0.78156,0.71335,0.53209,1.05879,0.86266,0.000122798,0.000122798,0.000122798
10,12.7948,0.57989,0.51283,0.87106,0.44329,0.75,0.54189,0.47717,0.54546,1.23073,0.86621,0.000136662,0.000136662,0.000136662
11,13.774,0.5369,0.46169,0.85208,0.98,0.5,0.5315,0.4635,0.5666,1.76737,0.8756,0.000150197,0.000150197,0.000150197
12,14.7533,0.52147,0.55879,0.87528,0.98,0.5,0.50386,0.43841,0.55715,1.99244,0.87832,0.000163401,0.000163401,0.000163401
13,15.868,0.57228,0.40265,0.87097,0.98,0.5,0.50711,0.43067,0.64002,2.09078,0.91168,0.000176275,0.000176275,0.000176275
14,16.8329,0.59002,0.39886,0.8687,0.5926,0.75,0.61025,0.53218,0.59245,1.74972,0.89457,0.000188819,0.000188819,0.000188819
15,17.8054,0.55827,0.43965,0.86738,0.98,0.5,0.498,0.43461,0.57366,1.64568,0.88222,0.000201034,0.000201034,0.000201034
16,18.7788,0.55064,0.36825,0.89353,0.98,0.5,0.61327,0.53032,0.59903,1.34643,0.88275,0.000212918,0.000212918,0.000212918
17,19.7642,0.5492,0.34012,0.8451,0.94779,0.75,0.7405,0.67079,0.59466,1.23729,0.89153,0.000224472,0.000224472,0.000224472
18,20.7108,0.5321,0.34076,0.87311,0.94779,0.75,0.7405,0.67079,0.59466,1.23729,0.89153,0.000235695,0.000235695,0.000235695
19,21.6875,0.55225,0.35987,0.87149,0.96445,0.75,0.7438,0.67279,0.59479,1.0173,0.89011,0.000246589,0.000246589,0.000246589
20,22.6332,0.54566,0.3688,0.86196,0.96445,0.75,0.7438,0.67279,0.59479,1.0173,0.89011,0.000257153,0.000257153,0.000257153
21,23.7521,0.54068,0.38833,0.84816,0.95607,1,0.995,0.8769,0.59101,0.9236,0.87795,0.000267387,0.000267387,0.000267387
22,25.3676,0.53403,0.36537,0.87152,0.95607,1,0.995,0.8769,0.59101,0.9236,0.87795,0.00027729,0.00027729,0.00027729
