epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.23084,0.83775,2.884,1.05633,0.9291,0.39791,0.45696,0.40031,0.56303,1.15575,0.86303,5.001e-05,5.001e-05,5.001e-05
2,9.64615,0.68045,1.6886,0.9686,0.78492,0.88889,0.86649,0.74727,0.53382,1.71789,0.86446,0.000115535,0.000115535,0.000115535
3,12.0702,0.60602,0.50148,0.86115,0.6234,0.77594,0.64955,0.54691,0.62316,2.18077,0.90261,0.000179739,0.000179739,0.000179739
4,14.462,0.57359,0.4288,0.87713,0.95557,0.89641,0.94718,0.80893,0.55681,0.93657,0.87358,0.000242624,0.000242624,0.000242624
5,16.8472,0.56712,0.39468,0.87742,0.97173,0.97477,0.99497,0.82239,0.62335,1.2418,0.90401,0.000304187,0.000304187,0.000304187
6,19.2326,0.5713,0.37772,0.88198,0.96748,0.95721,0.98908,0.82484,0.60599,0.9664,0.89362,0.000364431,0.000364431,0.000364431
7,21.6165,0.58876,0.43521,0.88078,0.99256,0.99606,0.99385,0.83121,0.58183,0.75291,0.89662,0.000423355,0.000423355,0.000423355
8,23.992,0.58698,0.38976,0.88332,0.92173,0.94444,0.96232,0.79795,0.59247,0.66659,0.89375,0.000480958,0.000480958,0.000480958
9,25.7057,0.57621,0.40842,0.88274,0.85207,0.97222,0.93368,0.70825,0.61485,0.70286,0.9109,0.000537241,0.000537241,0.000537241
10,27.4237,0.57305,0.39682,0.87087,0.94491,0.96699,0.99041,0.81662,0.58358,0.53604,0.89171,0.000592203,0.000592203,0.000592203
11,29.3003,0.56387,0.40042,0.88187,0.95322,0.99414,0.99476,0.80535,0.64601,0.52986,0.91465,0.000645846,0.000645846,0.000645846
12,31.023,0.57896,0.40312,0.86951,0.64553,0.90838,0.98269,0.7892,0.60605,0.81987,0.89043,0.000698168,0.000698168,0.000698168
13,32.7369,0.58348,0.38807,0.88225,0.38024,0.492,0.49896,0.33092,1.19981,2.16387,1.22491,0.00074917,0.00074917,0.00074917
