epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.82953,1.37957,3.37219,1.752,0.41653,0.39901,0.36726,0.24555,1.1892,2.14087,1.46259,0.00014,0.00014,0.00014
2,6.60645,1.08229,1.41685,1.30219,0.44586,0.39901,0.37126,0.2361,1.41975,3.62957,1.54263,0.00029703,0.00029703,0.00029703
3,10.1693,1.05805,1.05223,1.26388,0.44,0.4335,0.32641,0.20264,1.22083,10.5933,1.63652,0.000450892,0.000450892,0.000450892
4,12.9225,1.05268,0.94882,1.25396,0.39189,0.42857,0.30946,0.18683,1.31138,13.2683,1.79016,0.000601586,0.000601586,0.000601586
5,15.6388,1.11517,1.0845,1.36608,0.17903,0.38424,0.15575,0.09301,1.82605,8.90027,2.6416,0.000749112,0.000749112,0.000749112
6,18.3891,1.08382,1.02354,1.31806,0.00665,0.16749,0.00334,0.00103,3.23796,29.6644,6.69996,0.00089347,0.00089347,0.00089347
7,21.1129,1.05772,1.0042,1.28073,0,0,0,0,4.93103,inf,29.8105,0.00103466,0.00103466,0.00103466
8,23.8405,1.15036,1.01315,1.36444,0.00507,0.22167,0.00318,0.00075,4.05179,9.97404,5.85775,0.00117268,0.00117268,0.00117268
9,26.5639,1.07276,0.91486,1.28965,0.07843,0.08374,0.01999,0.00648,2.96547,4.6187,4.36843,0.00130754,0.00130754,0.00130754
10,29.2535,1.07688,0.95675,1.3161,0.12805,0.133,0.06005,0.02021,3.52529,5.61211,4.68562,0.00143922,0.00143922,0.00143922
11,32.1533,0.98247,0.8325,1.22632,0.26257,0.22167,0.15568,0.06993,2.41874,4.91306,2.89574,0.00156774,0.00156774,0.00156774
12,34.8571,1.05818,0.91955,1.28182,0.07911,0.06897,0.01418,0.00543,4.32368,5.81161,4.98975,0.00169309,0.00169309,0.00169309
13,37.5666,1.00181,0.84327,1.25544,0.19802,0.27586,0.14457,0.06467,2.80977,10.7517,3.91615,0.0017624,0.0017624,0.0017624
14,40.2668,1.074,0.86865,1.28739,0.20903,0.35468,0.18818,0.07176,2.44828,12.3567,3.54579,0.0017426,0.0017426,0.0017426
15,42.9741,1.01435,0.81793,1.25795,0.08395,0.50246,0.06134,0.02639,1.95895,15.8209,3.12232,0.0017228,0.0017228,0.0017228
16,45.672,0.94111,0.77951,1.22839,0.20443,0.32512,0.12512,0.05737,2.07194,7.91288,2.69736,0.001703,0.001703,0.001703
17,48.3655,0.96472,0.81129,1.21862,0.3693,0.44335,0.3203,0.18479,1.73261,4.72682,2.26208,0.0016832,0.0016832,0.0016832
18,51.0575,0.92006,0.77708,1.20253,0.64227,0.45813,0.45611,0.2708,1.7379,1.92613,2.18544,0.0016634,0.0016634,0.0016634
19,54.5735,0.96818,0.83594,1.26071,0.79006,0.59606,0.7147,0.4431,1.40065,1.47364,1.79132,0.0016436,0.0016436,0.0016436
20,57.9361,0.94488,0.79226,1.22314,0.60097,0.55644,0.52102,0.3239,1.41489,2.60097,1.83555,0.0016238,0.0016238,0.0016238
21,60.6388,1.01722,0.89697,1.30405,0.78652,0.55665,0.67738,0.46311,1.29535,2.18562,1.65312,0.001604,0.001604,0.001604
22,64.0047,0.97306,0.74787,1.21439,0.79884,0.61576,0.72782,0.51571,1.11031,1.74392,1.48444,0.0015842,0.0015842,0.0015842
23,67.3754,0.92793,0.71508,1.19889,0.58174,0.55172,0.56154,0.39673,1.21351,1.82669,1.58062,0.0015644,0.0015644,0.0015644
24,70.0692,0.88188,0.70173,1.15978,0.47988,0.69951,0.48105,0.33499,1.12933,2.56391,1.51559,0.0015446,0.0015446,0.0015446
25,72.9245,0.88686,0.7124,1.17255,0.40456,0.48276,0.32673,0.20823,1.31631,2.15155,1.66785,0.0015248,0.0015248,0.0015248
26,75.6176,0.8589,0.67422,1.1682,0.7765,0.63547,0.72477,0.48486,1.26817,1.09387,1.65002,0.001505,0.001505,0.001505
27,78.3077,0.81284,0.69617,1.14261,0.81947,0.65517,0.73204,0.50943,1.13218,1.12506,1.47774,0.0014852,0.0014852,0.0014852
28,81.0015,0.78152,0.61645,1.10122,0.86283,0.68168,0.79026,0.54134,1.14636,0.97175,1.51408,0.0014654,0.0014654,0.0014654
29,84.3582,0.83348,0.64585,1.15099,0.78158,0.69951,0.75376,0.55789,1.11911,0.93563,1.46287,0.0014456,0.0014456,0.0014456
30,87.726,0.84482,0.65647,1.15714,0.75435,0.711,0.77962,0.55254,1.11016,1.10387,1.50963,0.0014258,0.0014258,0.0014258
31,90.505,0.82933,0.59649,1.14252,0.83789,0.62069,0.71933,0.53732,1.089,1.50443,1.46786,0.001406,0.001406,0.001406
32,93.2022,0.80258,0.62756,1.12277,0.78459,0.73892,0.77598,0.57466,1.07288,1.13436,1.4422,0.0013862,0.0013862,0.0013862
33,96.5661,0.78924,0.59813,1.09971,0.86572,0.69951,0.79487,0.56648,1.13332,1.239,1.47216,0.0013664,0.0013664,0.0013664
34,99.2577,0.80828,0.61353,1.13249,0.84122,0.70467,0.79613,0.56511,1.08572,0.97934,1.42448,0.0013466,0.0013466,0.0013466
35,101.951,0.78364,0.58603,1.08597,0.75239,0.64532,0.73077,0.55684,0.99401,1.21093,1.34199,0.0013268,0.0013268,0.0013268
36,104.641,0.76715,0.587,1.10443,0.80943,0.70443,0.78602,0.58767,0.97374,0.8495,1.30449,0.001307,0.001307,0.001307
37,107.997,0.75264,0.55698,1.06846,0.80746,0.72414,0.7933,0.58674,1.02789,0.95294,1.35397,0.0012872,0.0012872,0.0012872
38,110.847,0.71889,0.52753,1.04128,0.83947,0.72906,0.79851,0.58362,1.07559,0.88512,1.39027,0.0012674,0.0012674,0.0012674
39,113.551,0.71874,0.52527,1.06802,0.84932,0.78818,0.83152,0.59714,1.07921,0.78927,1.40978,0.0012476,0.0012476,0.0012476
40,116.904,0.74883,0.56427,1.1081,0.77371,0.79162,0.80223,0.59577,1.03548,0.81707,1.36873,0.0012278,0.0012278,0.0012278
41,119.592,0.72579,0.53838,1.07576,0.83367,0.73892,0.81295,0.58764,1.05638,0.94365,1.39929,0.001208,0.001208,0.001208
42,122.285,0.71337,0.541,1.06943,0.79404,0.74384,0.81944,0.59897,1.01514,0.88876,1.34215,0.0011882,0.0011882,0.0011882
43,125.638,0.71237,0.5295,1.06799,0.83255,0.71429,0.81137,0.59967,0.99105,0.86006,1.3358,0.0011684,0.0011684,0.0011684
44,128.993,0.75119,0.55529,1.10061,0.85215,0.68473,0.79055,0.58116,0.99031,0.86019,1.34361,0.0011486,0.0011486,0.0011486
45,131.848,0.73155,0.5831,1.1039,0.83656,0.75369,0.83749,0.61603,0.95603,0.78256,1.29622,0.0011288,0.0011288,0.0011288
46,135.224,0.7076,0.53624,1.06368,0.87067,0.69458,0.81241,0.5972,1.04363,0.88244,1.33602,0.001109,0.001109,0.001109
47,137.923,0.6872,0.48986,1.05008,0.8431,0.75862,0.83938,0.59894,1.0195,0.83858,1.36166,0.0010892,0.0010892,0.0010892
48,140.612,0.71686,0.53394,1.07143,0.80926,0.79421,0.83855,0.62173,0.98232,0.77479,1.29846,0.0010694,0.0010694,0.0010694
49,143.968,0.68801,0.50966,1.06134,0.81007,0.75638,0.80278,0.61584,0.91521,0.84082,1.25332,0.0010496,0.0010496,0.0010496
50,146.657,0.68786,0.49984,1.03216,0.85837,0.75862,0.80948,0.62392,0.89719,0.81373,1.24949,0.0010298,0.0010298,0.0010298
51,150.01,0.69214,0.49079,1.04981,0.83158,0.75369,0.8115,0.60984,0.99871,0.83188,1.33102,0.00101,0.00101,0.00101
52,152.862,0.68216,0.48797,1.03677,0.78605,0.76016,0.81358,0.60891,0.99337,0.7767,1.31367,0.0009902,0.0009902,0.0009902
53,155.557,0.69275,0.49888,1.05776,0.80991,0.73892,0.81622,0.61231,0.97408,0.82024,1.29673,0.0009704,0.0009704,0.0009704
54,158.258,0.63676,0.47208,1.04007,0.76664,0.67971,0.71768,0.56658,0.96227,1.11232,1.30638,0.0009506,0.0009506,0.0009506
55,160.962,0.68206,0.49093,1.05675,0.85401,0.6628,0.74606,0.57874,0.96083,1.03606,1.28928,0.0009308,0.0009308,0.0009308
56,163.649,0.64365,0.454,1.03303,0.78541,0.73892,0.79631,0.60288,0.93056,0.82056,1.27616,0.000911,0.000911,0.000911
57,166.331,0.63619,0.47121,1.04205,0.78806,0.72906,0.78588,0.59654,0.93281,0.81823,1.27151,0.0008912,0.0008912,0.0008912
58,169.016,0.64563,0.48834,1.0382,0.81215,0.70282,0.7788,0.59786,0.94689,0.8179,1.2991,0.0008714,0.0008714,0.0008714
59,171.865,0.61995,0.4339,0.99008,0.82877,0.73914,0.80041,0.60612,0.98395,0.82532,1.33344,0.0008516,0.0008516,0.0008516
60,174.56,0.6518,0.47379,1.04264,0.82643,0.79803,0.83024,0.61175,1.0027,0.78093,1.35979,0.0008318,0.0008318,0.0008318
61,177.249,0.61078,0.44346,1.01877,0.80663,0.77833,0.82657,0.6073,1.00588,0.77284,1.34847,0.000812,0.000812,0.000812
62,179.945,0.61419,0.43093,0.9845,0.79102,0.78818,0.80419,0.60145,0.97201,0.80888,1.32612,0.0007922,0.0007922,0.0007922
63,182.641,0.62344,0.42558,1.02149,0.83835,0.68979,0.81438,0.61526,0.97479,0.81995,1.33517,0.0007724,0.0007724,0.0007724
64,185.328,0.6068,0.43175,0.984,0.83691,0.7331,0.80165,0.61622,0.94812,0.85269,1.33362,0.0007526,0.0007526,0.0007526
65,188.101,0.57149,0.38953,0.9788,0.86483,0.78792,0.84638,0.62116,0.9956,0.74731,1.38817,0.0007328,0.0007328,0.0007328
66,190.792,0.58259,0.39806,0.96924,0.80577,0.7931,0.85459,0.63586,0.96517,0.75681,1.35638,0.000713,0.000713,0.000713
67,194.146,0.59516,0.4233,0.9876,0.80703,0.78325,0.82669,0.62185,0.96669,0.75123,1.3332,0.0006932,0.0006932,0.0006932
68,196.843,0.58723,0.40745,0.99231,0.91816,0.71846,0.83316,0.64653,0.94196,0.76653,1.30605,0.0006734,0.0006734,0.0006734
69,200.193,0.57371,0.39286,1.00376,0.89584,0.72906,0.8172,0.63677,0.95301,0.76852,1.32198,0.0006536,0.0006536,0.0006536
70,202.881,0.58295,0.39214,0.99854,0.88388,0.71246,0.80994,0.6332,0.92458,0.82296,1.28723,0.0006338,0.0006338,0.0006338
71,205.563,0.59401,0.41043,0.98725,0.83853,0.75369,0.81791,0.62966,0.93772,0.78209,1.31491,0.000614,0.000614,0.000614
72,208.409,0.58623,0.4178,1.00865,0.84131,0.73399,0.80091,0.61621,0.95445,0.83919,1.30647,0.0005942,0.0005942,0.0005942
73,211.091,0.54889,0.38565,0.9463,0.84547,0.72773,0.79698,0.61585,0.92771,0.83658,1.29281,0.0005744,0.0005744,0.0005744
74,213.774,0.56495,0.39567,0.97731,0.85612,0.72906,0.81871,0.62913,0.91066,0.83029,1.27612,0.0005546,0.0005546,0.0005546
75,216.452,0.54222,0.39174,0.97094,0.85655,0.74384,0.80612,0.62486,0.88346,0.82896,1.25081,0.0005348,0.0005348,0.0005348
76,219.136,0.5302,0.37354,0.95651,0.80195,0.75801,0.80086,0.62854,0.90094,0.85448,1.25861,0.000515,0.000515,0.000515
77,221.818,0.55212,0.37197,0.95542,0.90027,0.71921,0.83261,0.64742,0.91083,0.80066,1.2755,0.0004952,0.0004952,0.0004952
78,225.335,0.53347,0.38771,0.98251,0.9241,0.70443,0.83047,0.64907,0.89686,0.82457,1.25541,0.0004754,0.0004754,0.0004754
79,228.683,0.50443,0.35488,0.95799,0.8438,0.74877,0.80979,0.63109,0.88448,0.84571,1.24817,0.0004556,0.0004556,0.0004556
80,231.37,0.526,0.35618,0.95769,0.85165,0.75369,0.81695,0.64956,0.85667,0.80904,1.2339,0.0004358,0.0004358,0.0004358
81,234.718,0.52024,0.35376,0.95642,0.85071,0.7579,0.82285,0.66248,0.84543,0.77714,1.22381,0.000416,0.000416,0.000416
82,238.067,0.50335,0.33622,0.93519,0.84694,0.74877,0.80645,0.63785,0.86193,0.79686,1.23452,0.0003962,0.0003962,0.0003962
83,240.757,0.50414,0.34382,0.94495,0.89091,0.72411,0.81694,0.63722,0.89893,0.80618,1.26347,0.0003764,0.0003764,0.0003764
84,243.442,0.51663,0.34821,0.9499,0.86971,0.72343,0.82133,0.64733,0.88124,0.80108,1.25141,0.0003566,0.0003566,0.0003566
85,246.285,0.50711,0.35121,0.95013,0.80985,0.77833,0.82895,0.65486,0.86471,0.78282,1.23743,0.0003368,0.0003368,0.0003368
86,248.973,0.51354,0.33902,0.93722,0.80343,0.7931,0.83635,0.66333,0.85001,0.78172,1.22968,0.000317,0.000317,0.000317
87,252.33,0.50987,0.3375,0.9717,0.82456,0.77833,0.83641,0.66229,0.86618,0.80722,1.2532,0.0002972,0.0002972,0.0002972
88,255.016,0.49187,0.32169,0.94164,0.8683,0.74697,0.8367,0.66015,0.87063,0.81077,1.26347,0.0002774,0.0002774,0.0002774
89,257.707,0.4866,0.33386,0.94452,0.86337,0.73892,0.8239,0.64948,0.90735,0.84426,1.2846,0.0002576,0.0002576,0.0002576
90,260.39,0.49056,0.38078,0.95206,0.8525,0.74024,0.8171,0.64351,0.90216,0.85282,1.27974,0.0002378,0.0002378,0.0002378
91,264.672,0.46184,0.38814,0.90847,0.87466,0.72189,0.80537,0.63132,0.92134,0.88675,1.29699,0.000218,0.000218,0.000218
92,267.65,0.46621,0.32794,0.93028,0.86357,0.71718,0.77617,0.61037,0.94844,0.92434,1.30555,0.0001982,0.0001982,0.0001982
93,270.339,0.45722,0.30876,0.91908,0.84177,0.71429,0.76756,0.60285,0.95015,0.95695,1.29962,0.0001784,0.0001784,0.0001784
94,273.028,0.41245,0.28935,0.88783,0.81381,0.71052,0.78277,0.62077,0.90763,0.89569,1.27843,0.0001586,0.0001586,0.0001586
95,275.707,0.40633,0.30162,0.88815,0.80301,0.75369,0.81364,0.6407,0.89425,0.83007,1.27415,0.0001388,0.0001388,0.0001388
96,278.398,0.40829,0.27046,0.89325,0.80027,0.76847,0.82144,0.64718,0.89089,0.80973,1.27743,0.000119,0.000119,0.000119
97,281.075,0.41817,0.27582,0.89395,0.83022,0.77085,0.82598,0.64902,0.88852,0.81335,1.28226,9.92e-05,9.92e-05,9.92e-05
98,283.762,0.41562,0.26049,0.89298,0.84958,0.75121,0.82645,0.64698,0.88318,0.81161,1.28296,7.94e-05,7.94e-05,7.94e-05
99,286.453,0.36941,0.23696,0.87014,0.867,0.73858,0.83023,0.64799,0.88153,0.8137,1.27872,5.96e-05,5.96e-05,5.96e-05
100,289.29,0.36944,0.23648,0.86505,0.86737,0.74094,0.83135,0.65273,0.87839,0.81702,1.27146,3.98e-05,3.98e-05,3.98e-05
