epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.57866,1.35176,3.41603,1.71928,0.3704,0.21393,0.21259,0.12818,0.8173,2.35557,1.23756,0.00014,0.00014,0.00014
2,6.60041,1.1604,1.50808,1.36844,0.80933,0.45771,0.51352,0.30726,1.47006,1.84127,1.79458,0.00029703,0.00029703,0.00029703
3,11.0453,1.08079,1.09291,1.29031,0.68419,0.53731,0.60596,0.39118,1.337,2.7172,1.74011,0.000450892,0.000450892,0.000450892
4,14.4783,0.9601,0.87847,1.19344,0.87069,0.50249,0.59803,0.35418,1.34561,7.91448,2.23204,0.000601586,0.000601586,0.000601586
5,17.2532,1.07589,0.96476,1.33479,0.02499,0.07463,0.0044,0.00201,nan,nan,nan,0.000749112,0.000749112,0.000749112
6,20.0033,1.0749,1.13321,1.36739,0.00161,0.06965,0.00087,0.00027,nan,nan,nan,0.00089347,0.00089347,0.00089347
7,22.744,1.09958,1.03558,1.33875,0.00054,0.02488,0.00028,4e-05,nan,nan,nan,0.00103466,0.00103466,0.00103466
8,25.4794,1.0296,0.88447,1.29105,0.00202,0.07463,0.00107,0.00045,nan,nan,nan,0.00117268,0.00117268,0.00117268
9,28.2315,1.05919,0.918,1.31401,0.01584,0.40796,0.01192,0.00545,2.35456,inf,4.22663,0.00130754,0.00130754,0.00130754
10,30.9369,1.01519,0.90679,1.2861,0.02178,0.31841,0.01356,0.00449,3.06903,inf,6.20843,0.00143922,0.00143922,0.00143922
11,33.794,1.05258,0.86047,1.2584,0.01901,0.23881,0.0121,0.00288,3.93737,12.1855,6.64237,0.00156774,0.00156774,0.00156774
12,36.4946,1.02004,0.88673,1.2556,0.47344,0.64677,0.60418,0.34506,1.49128,7.04018,2.28009,0.00169309,0.00169309,0.00169309
13,39.1854,0.98836,0.84105,1.21382,0.54418,0.62189,0.63184,0.3963,1.37953,8.19654,1.97873,0.0017624,0.0017624,0.0017624
14,42.5664,1.04458,0.86062,1.2743,0.33524,0.51183,0.371,0.23872,1.39598,5.83602,1.94654,0.0017426,0.0017426,0.0017426
