epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.15394,1.28686,3.55178,1.64128,0.10245,0.04902,0.01824,0.00721,1.01253,3.65191,1.32676,6e-05,6e-05,6e-05
2,3.54436,1.30302,3.38694,1.69657,0.5816,0.66777,0.61601,0.41935,1.06794,1.50165,1.37698,0.000138614,0.000138614,0.000138614
3,6.00473,1.09023,1.47162,1.31579,0.63462,0.64706,0.54316,0.32874,1.19845,10.9537,1.56827,0.000215644,0.000215644,0.000215644
4,8.47482,1.06365,1.11345,1.27395,0.76712,0.54902,0.57359,0.37879,1.17686,13.1278,1.5485,0.00029109,0.00029109,0.00029109
5,10.1942,1.01252,1.06804,1.30141,0.81429,0.55882,0.68239,0.47273,1.14884,8.99847,1.524,0.000364952,0.000364952,0.000364952
6,12.6127,0.90992,0.91115,1.17822,0.54893,0.72779,0.65885,0.42877,1.06908,4.73026,1.53334,0.00043723,0.00043723,0.00043723
7,14.3562,0.91777,0.82398,1.18029,0.29826,0.51961,0.37094,0.23668,1.28334,4.61808,1.84655,0.000507924,0.000507924,0.000507924
8,16.0944,0.95406,0.78571,1.19209,0.04952,0.71569,0.05425,0.03575,1.32972,36.6803,2.07895,0.000577034,0.000577034,0.000577034
9,17.8394,0.97955,0.82762,1.23513,0.06707,0.52941,0.05417,0.02567,1.63317,29.0551,3.11866,0.00064456,0.00064456,0.00064456
10,19.5818,0.94036,0.81526,1.22028,0.15428,0.40196,0.08891,0.04147,1.92238,7.32189,4.03089,0.000710502,0.000710502,0.000710502
11,21.4798,0.87742,0.78377,1.17748,0.40794,0.35294,0.25174,0.12282,1.89252,3.77571,2.72136,0.00077486,0.00077486,0.00077486
12,23.2222,0.92103,0.80713,1.15221,0.50096,0.43137,0.4109,0.19159,2.16549,3.79442,3.46817,0.000837634,0.000837634,0.000837634
13,24.9664,1.02155,0.92408,1.24733,0.3328,0.36275,0.29522,0.14724,2.10101,3.3422,3.20701,0.000898824,0.000898824,0.000898824
14,26.6799,0.89526,0.78872,1.19406,0.24819,0.2451,0.173,0.09735,2.21156,4.90349,3.12428,0.00095843,0.00095843,0.00095843
15,28.418,1.03582,0.79682,1.24175,0.01652,0.16667,0.0105,0.00289,3.37722,23.8711,12.1719,0.00101645,0.00101645,0.00101645
16,30.1284,0.90077,0.72583,1.15882,0.02636,0.12745,0.01634,0.00509,3.02266,18.6821,10.7756,0.00107289,0.00107289,0.00107289
17,31.9263,0.90751,0.7437,1.19241,0.03041,0.2451,0.01892,0.00745,2.57869,14.9177,7.46129,0.00112774,0.00112774,0.00112774
18,33.6743,0.87636,0.7315,1.15967,0.01396,0.14706,0.00695,0.00232,3.55125,21.2711,48.1932,0.00118101,0.00118101,0.00118101
19,35.3764,0.88816,0.71331,1.2205,0.12197,0.10784,0.02408,0.01446,2.54556,6.18903,4.54121,0.0012327,0.0012327,0.0012327
20,37.0857,0.90038,0.73701,1.18959,0.28911,0.15686,0.12567,0.06853,2.57932,5.02755,3.09644,0.0012828,0.0012828,0.0012828
21,38.8345,0.94564,0.73594,1.15342,0.49962,0.39216,0.34407,0.18517,1.97566,4.02323,2.55006,0.00133132,0.00133132,0.00133132
22,40.5505,0.91266,0.75244,1.19409,0.44726,0.37255,0.33254,0.21099,2.01706,3.9501,2.48556,0.00137825,0.00137825,0.00137825
23,42.2696,0.8839,0.74907,1.13188,0.34252,0.40196,0.38999,0.24551,1.75243,9.09522,2.19043,0.0014236,0.0014236,0.0014236
24,44.1348,0.8631,0.77952,1.18764,0.48366,0.43137,0.43305,0.28026,1.61257,4.97695,2.08832,0.00146737,0.00146737,0.00146737
25,45.8513,0.88053,0.73396,1.15616,0.52693,0.54902,0.51796,0.35482,1.31727,4.5279,1.85634,0.00150955,0.00150955,0.00150955
26,47.5737,0.823,0.66747,1.10347,0.56482,0.58534,0.56525,0.3697,1.32119,4.44909,1.90855,0.001505,0.001505,0.001505
27,49.2895,0.83466,0.66017,1.12049,0.51186,0.48039,0.52581,0.32594,1.51063,2.69722,2.10681,0.0014852,0.0014852,0.0014852
28,50.9699,0.81728,0.63701,1.12693,0.35383,0.36275,0.20745,0.10455,1.94738,2.92763,2.50181,0.0014654,0.0014654,0.0014654
29,52.6837,0.93461,0.70763,1.1819,0.18958,0.33333,0.10183,0.04874,2.11412,3.69391,2.50373,0.0014456,0.0014456,0.0014456
30,54.3937,0.86103,0.7051,1.15625,0.45857,0.52941,0.40487,0.24303,1.55364,2.2309,1.94833,0.0014258,0.0014258,0.0014258
31,56.2044,0.78583,0.6041,1.12331,0.50718,0.52469,0.50225,0.29091,1.55838,2.80298,2.01606,0.001406,0.001406,0.001406
32,57.9205,0.85101,0.63589,1.09591,0.5802,0.62745,0.56846,0.38644,1.34095,2.68802,1.88191,0.0013862,0.0013862,0.0013862
33,59.6543,0.7743,0.60401,1.09165,0.54392,0.64706,0.54169,0.3662,1.21493,2.76642,1.64964,0.0013664,0.0013664,0.0013664
34,61.3752,0.8149,0.58086,1.08455,0.58514,0.54902,0.58033,0.40913,1.14132,3.19395,1.57975,0.0013466,0.0013466,0.0013466
35,63.0821,0.78327,0.59769,1.12985,0.58057,0.65686,0.6559,0.44426,1.20455,3.14979,1.67178,0.0013268,0.0013268,0.0013268
