epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.18015,0.81775,2.67406,1.05259,0.92768,0.40461,0.46371,0.40429,0.55576,1.19738,0.8603,1.667e-05,1.667e-05,1.667e-05
2,2.42004,0.77756,2.93686,1.03657,0.91978,0.41053,0.45846,0.39852,0.55775,1.21278,0.86039,4.95149e-05,4.95149e-05,4.95149e-05
3,3.38661,0.77713,2.42756,1.04179,0.94257,0.5,0.52054,0.46108,0.48022,2.93279,0.84088,8.16997e-05,8.16997e-05,8.16997e-05
4,5.86115,0.5739,0.93389,0.90263,0.64811,0.79167,0.81871,0.70944,0.52836,1.45207,0.85168,0.000113224,0.000113224,0.000113224
5,7.79753,0.57463,0.52858,0.86724,0.93925,0.49474,0.70163,0.59599,0.57302,2.23015,0.86859,0.000144089,0.000144089,0.000144089
6,9.0677,0.6026,0.44418,0.86658,0.95192,0.49474,0.52267,0.44312,0.61726,3.23407,0.89291,0.000174293,0.000174293,0.000174293
7,10.3168,0.57557,0.4772,0.86432,0.75213,0.82593,0.86027,0.7306,0.59156,1.94143,0.8913,0.000203837,0.000203837,0.000203837
8,12.2346,0.56042,0.41227,0.88494,0.96745,1,0.995,0.86176,0.57438,0.88245,0.88358,0.000232722,0.000232722,0.000232722
9,14.1303,0.54588,0.40468,0.85893,0.86245,1,0.99356,0.85289,0.60179,1.61916,0.89363,0.000260946,0.000260946,0.000260946
10,15.3719,0.56191,0.38245,0.87094,0.77989,0.96712,0.91654,0.78891,0.59205,2.4985,0.89289,0.000288509,0.000288509,0.000288509
11,16.5942,0.54463,0.3681,0.8547,0.70736,0.95833,0.78468,0.677,0.59441,3.78339,0.89852,0.000315413,0.000315413,0.000315413
12,17.975,0.53968,0.36844,0.86599,0.68279,0.88536,0.6435,0.54977,0.57938,5.87745,0.89819,0.000341657,0.000341657,0.000341657
13,19.2014,0.5488,0.38895,0.88008,0.66046,0.93619,0.67529,0.56626,0.58599,7.72822,0.90118,0.00036724,0.00036724,0.00036724
14,20.3924,0.54097,0.36374,0.86528,0.64892,0.93745,0.67005,0.56981,0.57894,8.79163,0.88476,0.000392163,0.000392163,0.000392163
15,21.615,0.55276,0.36116,0.86436,0.64022,0.94507,0.68605,0.57343,0.58823,6.38865,0.89852,0.000416427,0.000416427,0.000416427
16,22.84,0.56218,0.35019,0.86742,0.65166,0.93994,0.71641,0.59896,0.59897,4.72116,0.89888,0.00044003,0.00044003,0.00044003
17,24.0726,0.57036,0.36458,0.87107,0.66976,0.97437,0.7958,0.66541,0.63406,3.09343,0.91743,0.000462973,0.000462973,0.000462973
18,25.3022,0.56182,0.42172,0.87428,0.7733,0.96968,0.90729,0.77851,0.60295,1.50963,0.9021,0.000485255,0.000485255,0.000485255
19,26.6779,0.53957,0.34336,0.86881,0.76281,0.95307,0.94752,0.80982,0.57335,1.19392,0.8749,0.000506878,0.000506878,0.000506878
20,27.9118,0.55169,0.34828,0.87089,0.7915,0.95833,0.86876,0.7484,0.54787,1.06245,0.86641,0.000527841,0.000527841,0.000527841
21,29.1408,0.54614,0.34974,0.87853,0.69803,0.99474,0.76372,0.63221,0.56928,1.77396,0.87005,0.000548143,0.000548143,0.000548143
22,30.3652,0.50759,0.33708,0.84801,0.6398,0.97985,0.68672,0.57912,0.5746,2.25694,0.87366,0.000567785,0.000567785,0.000567785
23,31.585,0.55454,0.35481,0.8593,0.94026,0.99738,0.99021,0.84575,0.59623,0.43075,0.88118,0.000586767,0.000586767,0.000586767
24,32.805,0.55496,0.34968,0.85778,0.98996,0.99449,0.99042,0.86302,0.58383,0.44423,0.87416,0.000605089,0.000605089,0.000605089
25,34.6983,0.54111,0.35279,0.87326,0.98674,0.99474,0.99011,0.85906,0.57486,0.3652,0.873,0.000622751,0.000622751,0.000622751
26,36.0717,0.57259,0.3619,0.87521,0.95291,0.99474,0.98745,0.83752,0.60674,0.39084,0.88585,0.000639753,0.000639753,0.000639753
27,37.2569,0.55126,0.35005,0.86649,0.99161,1,0.99328,0.84031,0.59089,0.37525,0.88166,0.000656095,0.000656095,0.000656095
28,38.4574,0.53627,0.32577,0.86001,0.99161,1,0.99328,0.84031,0.59089,0.37525,0.88166,0.000671776,0.000671776,0.000671776
