epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.59032,1.1989,3.48432,1.54224,0.00762,0.29091,0.01908,0.00536,0.85938,3.63491,1.25599,2e-05,2e-05,2e-05
2,2.4158,1.39143,3.52047,1.73622,0.00714,0.27273,0.01526,0.00478,0.83046,3.62859,1.23137,5.9406e-05,5.9406e-05,5.9406e-05
3,3.24575,1.26677,3.43774,1.70817,0.00714,0.27273,0.01318,0.00542,0.82799,3.61538,1.22129,9.802e-05,9.802e-05,9.802e-05
4,4.18713,1.18896,2.71637,1.4801,0.53747,0.87273,0.82424,0.60876,0.93115,6.5209,1.17964,0.000135842,0.000135842,0.000135842
5,6.6996,1.02323,1.17168,1.28461,0.70398,0.76364,0.81976,0.6303,0.97726,2.21277,1.27746,0.000172872,0.000172872,0.000172872
6,8.57615,0.98416,0.90658,1.2084,0.83721,0.65455,0.76338,0.56068,0.90207,3.43547,1.18496,0.00020911,0.00020911,0.00020911
7,9.78532,0.9684,0.87114,1.19993,0.77641,0.83636,0.85397,0.64072,1.00943,1.95172,1.35578,0.000244556,0.000244556,0.000244556
8,11.6639,0.86715,0.85331,1.16107,0.72616,0.72327,0.76195,0.58,1.01013,1.86904,1.2681,0.00027921,0.00027921,0.00027921
9,12.8495,0.94465,0.82825,1.18832,0.77267,0.74162,0.77732,0.58941,0.89666,1.98341,1.16979,0.000313072,0.000313072,0.000313072
10,14.046,0.89591,0.78637,1.20715,0.74025,0.78182,0.81495,0.60029,0.90558,2.48138,1.21802,0.000346142,0.000346142,0.000346142
11,15.2332,0.79613,0.71548,1.08978,0.76187,0.78182,0.80424,0.58862,0.90806,2.61222,1.25396,0.00037842,0.00037842,0.00037842
12,16.5759,0.80685,0.66079,1.10807,0.71005,0.72727,0.78075,0.5797,0.95092,2.41348,1.29475,0.000409906,0.000409906,0.000409906
13,17.7303,0.75667,0.67614,1.10086,0.73035,0.70909,0.78342,0.59405,0.94658,2.04025,1.32577,0.0004406,0.0004406,0.0004406
14,18.9191,0.76012,0.61894,1.08593,0.75238,0.65455,0.73636,0.55902,0.99431,2.0264,1.39866,0.000470502,0.000470502,0.000470502
15,20.1006,0.70998,0.55213,1.05365,0.74534,0.69091,0.77287,0.53753,1.0806,2.55192,1.44045,0.000499612,0.000499612,0.000499612
16,21.2898,0.70566,0.54266,1.02433,0.63939,0.8382,0.81839,0.58247,1.0087,2.65276,1.39289,0.00052793,0.00052793,0.00052793
17,22.4785,0.72106,0.50864,1.04128,0.69878,0.78182,0.79523,0.51962,1.16109,2.69245,1.51929,0.000555456,0.000555456,0.000555456
18,23.6693,0.85046,0.72996,1.15253,0.64373,0.62426,0.64615,0.39214,1.27683,1.93363,1.57742,0.00058219,0.00058219,0.00058219
19,25.0177,0.93247,0.72414,1.17407,0.77787,0.54545,0.61148,0.38445,1.30119,1.61256,1.56544,0.000608132,0.000608132,0.000608132
20,26.2087,0.84808,0.66879,1.10682,0.60468,0.41818,0.47843,0.30128,1.51562,2.02544,1.77717,0.000633282,0.000633282,0.000633282
21,27.3994,0.69845,0.62358,1.0525,0.55535,0.68132,0.61846,0.40259,1.16773,3.15785,1.48457,0.00065764,0.00065764,0.00065764
22,28.5888,0.74222,0.63665,1.06272,0.63342,0.83636,0.70221,0.4555,1.13071,4.94045,1.56265,0.000681206,0.000681206,0.000681206
23,29.7761,0.73808,0.59739,1.10928,0.40039,0.85455,0.62031,0.40109,1.19504,5.73927,1.54147,0.00070398,0.00070398,0.00070398
24,30.9627,0.76374,0.58879,1.06001,0.45912,0.87273,0.65377,0.40359,1.22089,5.49866,1.66364,0.000725962,0.000725962,0.000725962
25,32.159,0.73447,0.61674,1.14604,0.40443,0.6,0.49843,0.31005,1.4425,6.2353,1.79394,0.000747152,0.000747152,0.000747152
26,33.3467,0.76059,0.61392,1.10212,0.29073,0.65455,0.43693,0.25915,1.49701,9.52489,1.91088,0.00076755,0.00076755,0.00076755
27,34.6901,0.74118,0.60669,1.06928,0.36834,0.54545,0.34825,0.24268,1.2672,13.6044,1.68741,0.000787156,0.000787156,0.000787156
28,35.8543,0.72876,0.55774,1.09437,0.36834,0.54545,0.34825,0.24268,1.2672,13.6044,1.68741,0.00080597,0.00080597,0.00080597
29,37.0485,0.7587,0.62197,1.0964,0.28761,0.70909,0.39478,0.22347,1.33937,9.88509,1.7539,0.000823992,0.000823992,0.000823992
30,38.2388,0.78814,0.57825,1.01803,0.34082,0.6,0.37664,0.23976,1.43094,6.57783,1.92079,0.000841222,0.000841222,0.000841222
31,39.3999,0.68098,0.52854,1.02712,0.34082,0.6,0.37664,0.23976,1.43094,6.57783,1.92079,0.00085766,0.00085766,0.00085766
32,40.5927,0.7154,0.54144,1.04512,0.48745,0.49091,0.4114,0.24497,1.46588,3.99716,1.93509,0.000873306,0.000873306,0.000873306
33,41.7883,0.74396,0.56177,1.0987,0.49806,0.56364,0.54122,0.33726,1.36532,3.8846,1.8,0.00088816,0.00088816,0.00088816
34,43.1092,0.64929,0.49422,1.02442,0.49806,0.56364,0.54122,0.33726,1.36532,3.8846,1.8,0.000902222,0.000902222,0.000902222
35,44.2949,0.69141,0.53907,1.0377,0.39629,0.6,0.59426,0.41939,1.36712,5.92047,1.77205,0.000915492,0.000915492,0.000915492
36,45.4863,0.64639,0.46058,1.03371,0.43452,0.62876,0.59679,0.37337,1.4556,5.04917,1.82128,0.00092797,0.00092797,0.00092797
