epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.22788,1.29191,3.24328,1.63748,0.49653,0.76119,0.68199,0.46415,1.0099,7.73321,1.27306,0.00014,0.00014,0.00014
2,11.0132,1.11079,1.27226,1.26827,0.57471,0.49751,0.43031,0.21276,1.58738,12.7137,1.78835,0.00029703,0.00029703,0.00029703
3,14.4612,1.05984,1.06883,1.2335,0.89157,0.36816,0.6085,0.37015,1.26365,9.41088,1.72607,0.000450892,0.000450892,0.000450892
4,17.2313,1.02281,0.94927,1.20146,0.62974,0.68159,0.68329,0.49166,1.15371,4.38772,1.74793,0.000601586,0.000601586,0.000601586
5,20.6624,1.08861,1.06413,1.33703,0.83863,0.49254,0.65344,0.39947,1.35669,6.92103,2.13483,0.000749112,0.000749112,0.000749112
6,23.4234,1.06909,0.99963,1.30511,0.02469,0.47264,0.01774,0.0094,1.90594,42.7774,2.83211,0.00089347,0.00089347,0.00089347
7,26.1399,1.12822,1.02293,1.33335,0.01549,0.14925,0.00747,0.00258,3.60762,58.3882,7.75671,0.00103466,0.00103466,0.00103466
8,28.8659,1.17651,0.95543,1.32749,0.0368,0.56716,0.03225,0.0174,1.71315,inf,3.0378,0.00117268,0.00117268,0.00117268
9,31.565,1.06633,0.90959,1.30294,0.25076,0.57214,0.32548,0.16719,1.84723,9.99166,3.0997,0.00130754,0.00130754,0.00130754
10,34.2715,1.05118,0.92931,1.28367,0.08286,0.1393,0.03921,0.02355,2.99828,10.9306,6.97027,0.00143922,0.00143922,0.00143922
11,37.1956,1.08039,0.88631,1.26612,0.00157,0.0597,0.00078,0.00021,4.03606,inf,6.22618,0.00156774,0.00156774,0.00156774
12,39.8997,1.10042,0.91798,1.27478,0.11983,0.15423,0.05088,0.02774,2.25517,12.5297,2.94118,0.00169309,0.00169309,0.00169309
13,42.608,1.0156,0.83556,1.23404,0.36166,0.43284,0.29537,0.13504,1.88347,6.96346,2.58623,0.0017624,0.0017624,0.0017624
14,45.3021,1.05603,0.92983,1.244,0.20103,0.21393,0.09509,0.04141,2.83038,8.2055,3.88142,0.0017426,0.0017426,0.0017426
15,48.0168,1.04355,0.8972,1.25297,0.32216,0.37313,0.3016,0.16216,1.89707,9.22808,2.58446,0.0017228,0.0017228,0.0017228
16,50.7059,1.02016,0.90472,1.29851,0.52837,0.35821,0.36197,0.2163,1.78666,6.34596,2.19119,0.001703,0.001703,0.001703
17,53.4081,0.97373,0.82053,1.21158,0.44352,0.53234,0.46729,0.28488,1.47262,8.89062,2.00732,0.0016832,0.0016832,0.0016832
18,56.1087,0.96785,0.82513,1.20917,0.67647,0.59295,0.64023,0.36942,1.51019,2.73324,1.99934,0.0016634,0.0016634,0.0016634
19,58.9629,0.94207,0.81571,1.23199,0.59452,0.56219,0.55275,0.30644,1.85779,3.75958,2.42188,0.0016436,0.0016436,0.0016436
20,61.6618,0.92863,0.76346,1.17804,0.37354,0.55224,0.37651,0.21435,1.52936,2.11731,2.1608,0.0016238,0.0016238,0.0016238
21,64.3777,0.90264,0.80655,1.20704,0.73944,0.58706,0.69182,0.43882,1.28466,1.55898,1.62788,0.001604,0.001604,0.001604
22,67.0728,0.9382,0.73807,1.16724,0.6769,0.60199,0.63601,0.41432,1.35027,2.53104,1.83594,0.0015842,0.0015842,0.0015842
23,69.785,0.89772,0.73961,1.18017,0.7874,0.66337,0.70988,0.49374,1.27258,3.30499,1.7314,0.0015644,0.0015644,0.0015644
24,73.143,0.87448,0.7087,1.1576,0.82084,0.63682,0.72115,0.45912,1.34775,2.59742,1.86004,0.0015446,0.0015446,0.0015446
25,76.0044,0.93601,0.75501,1.17828,0.74113,0.62189,0.68464,0.42117,1.41329,1.83707,1.83162,0.0015248,0.0015248,0.0015248
26,78.6744,0.92309,0.74063,1.19219,0.80078,0.64179,0.7299,0.49677,1.19503,1.18018,1.55924,0.001505,0.001505,0.001505
27,82.034,0.91134,0.74706,1.18495,0.75278,0.68159,0.74543,0.53675,1.12795,1.69412,1.47809,0.0014852,0.0014852,0.0014852
28,85.3938,0.81641,0.64384,1.11131,0.87618,0.74129,0.82581,0.62342,0.9199,1.17754,1.27709,0.0014654,0.0014654,0.0014654
29,88.7491,0.84384,0.65398,1.14092,0.83517,0.72139,0.79425,0.58668,1.01045,1.21345,1.38667,0.0014456,0.0014456,0.0014456
30,91.4369,0.84909,0.68901,1.14871,0.82777,0.74126,0.78976,0.58994,0.93724,1.57602,1.31052,0.0014258,0.0014258,0.0014258
31,94.2924,0.83878,0.67217,1.13443,0.82111,0.77643,0.85178,0.63081,0.9797,1.0701,1.34578,0.001406,0.001406,0.001406
32,97.6601,0.83092,0.64902,1.11948,0.87612,0.73888,0.8433,0.63802,0.96039,1.04305,1.33508,0.0013862,0.0013862,0.0013862
33,101.014,0.8372,0.63015,1.12378,0.86019,0.76527,0.83868,0.62612,0.96978,1.05943,1.3491,0.0013664,0.0013664,0.0013664
34,103.722,0.82223,0.65994,1.11442,0.82311,0.801,0.81081,0.58228,1.00605,1.19816,1.38762,0.0013466,0.0013466,0.0013466
35,106.404,0.79304,0.60357,1.08116,0.87369,0.79149,0.87797,0.63385,0.96072,1.00991,1.35583,0.0013268,0.0013268,0.0013268
36,109.107,0.79264,0.57845,1.09013,0.87082,0.77612,0.85405,0.61645,0.99346,0.85189,1.37172,0.001307,0.001307,0.001307
37,111.815,0.81045,0.59788,1.10936,0.85639,0.80101,0.8536,0.61935,0.96382,1.06456,1.35597,0.0012872,0.0012872,0.0012872
38,114.484,0.79824,0.57959,1.06658,0.87723,0.801,0.85579,0.62882,0.95478,0.95379,1.31394,0.0012674,0.0012674,0.0012674
39,117.187,0.79168,0.58681,1.11129,0.81061,0.76658,0.82642,0.6192,0.90906,0.93338,1.27066,0.0012476,0.0012476,0.0012476
40,120.009,0.785,0.59639,1.11266,0.82547,0.76617,0.81639,0.62172,0.93345,0.87961,1.28444,0.0012278,0.0012278,0.0012278
41,122.718,0.76401,0.5744,1.0894,0.86568,0.76954,0.82178,0.63388,0.90482,0.80616,1.2542,0.001208,0.001208,0.001208
42,125.418,0.73951,0.54341,1.0754,0.80681,0.78957,0.82954,0.60245,0.97437,0.92094,1.3178,0.0011882,0.0011882,0.0011882
43,128.124,0.72935,0.55586,1.08324,0.89066,0.79602,0.8772,0.67496,0.86979,0.73175,1.21833,0.0011684,0.0011684,0.0011684
44,131.489,0.75677,0.58012,1.08726,0.89916,0.78109,0.86213,0.65839,0.94279,0.72394,1.27463,0.0011486,0.0011486,0.0011486
45,134.177,0.73569,0.58318,1.08932,0.89605,0.81479,0.87279,0.67571,0.8865,0.70009,1.25169,0.0011288,0.0011288,0.0011288
46,137.533,0.72873,0.52922,1.05651,0.86735,0.78075,0.83152,0.661,0.87472,0.76155,1.24598,0.001109,0.001109,0.001109
47,140.351,0.6959,0.4917,1.04133,0.87413,0.76119,0.8392,0.65483,0.91572,0.79109,1.28802,0.0010892,0.0010892,0.0010892
48,143.046,0.71511,0.52514,1.05359,0.80778,0.8607,0.8697,0.66053,0.90689,0.70751,1.26633,0.0010694,0.0010694,0.0010694
49,145.735,0.68955,0.50972,1.04181,0.88534,0.84513,0.88358,0.69379,0.82341,0.65983,1.19816,0.0010496,0.0010496,0.0010496
50,149.091,0.656,0.48893,1.01405,0.88681,0.81095,0.86154,0.69355,0.81059,0.69274,1.1856,0.0010298,0.0010298,0.0010298
51,151.79,0.68141,0.48101,1.03179,0.86439,0.801,0.86344,0.68672,0.83531,0.72996,1.20648,0.00101,0.00101,0.00101
52,154.489,0.67017,0.48703,1.00566,0.87875,0.78607,0.87797,0.65998,0.87569,0.70167,1.24784,0.0009902,0.0009902,0.0009902
53,157.181,0.71119,0.51249,1.08855,0.87033,0.73632,0.81508,0.63857,0.86526,0.81423,1.22896,0.0009704,0.0009704,0.0009704
54,159.869,0.68196,0.50004,1.04479,0.89221,0.74125,0.82314,0.6438,0.85575,0.77787,1.22608,0.0009506,0.0009506,0.0009506
55,162.694,0.67048,0.47541,1.01796,0.8221,0.79602,0.85284,0.66065,0.87121,0.76023,1.23426,0.0009308,0.0009308,0.0009308
56,165.4,0.69055,0.51579,1.04258,0.83379,0.801,0.8489,0.6588,0.88776,0.72798,1.24226,0.000911,0.000911,0.000911
57,168.093,0.63707,0.47183,1.00242,0.88305,0.78607,0.86547,0.6642,0.85706,0.68898,1.226,0.0008912,0.0008912,0.0008912
58,170.783,0.63986,0.45653,1.0188,0.87064,0.8209,0.8814,0.70026,0.82295,0.65675,1.18772,0.0008714,0.0008714,0.0008714
59,174.141,0.6482,0.4473,1.01014,0.90295,0.78691,0.88222,0.70071,0.8428,0.65488,1.2066,0.0008516,0.0008516,0.0008516
60,177.506,0.6289,0.44999,1.00574,0.87165,0.84577,0.89039,0.71525,0.83233,0.61459,1.19505,0.0008318,0.0008318,0.0008318
61,180.855,0.61256,0.44466,1.00553,0.92554,0.80597,0.89497,0.70076,0.85944,0.59861,1.21743,0.000812,0.000812,0.000812
62,183.545,0.61186,0.42351,0.98671,0.86771,0.85075,0.91121,0.7117,0.85915,0.60704,1.21857,0.0007922,0.0007922,0.0007922
63,186.361,0.63531,0.42092,1.02093,0.92632,0.80597,0.9105,0.7056,0.85844,0.58403,1.22087,0.0007724,0.0007724,0.0007724
64,189.056,0.6354,0.44706,0.98844,0.89912,0.84248,0.91229,0.7035,0.87863,0.57646,1.23919,0.0007526,0.0007526,0.0007526
65,191.712,0.6003,0.40802,0.97481,0.88801,0.86567,0.90965,0.70767,0.84606,0.58026,1.22641,0.0007328,0.0007328,0.0007328
66,194.398,0.59857,0.39292,0.96627,0.91425,0.85075,0.90615,0.70964,0.8227,0.58709,1.21133,0.000713,0.000713,0.000713
67,197.095,0.60582,0.41821,0.9963,0.90151,0.83582,0.89604,0.70395,0.82431,0.61681,1.21987,0.0006932,0.0006932,0.0006932
68,199.78,0.60134,0.40901,0.9959,0.90411,0.83085,0.89663,0.70844,0.82481,0.62205,1.1991,0.0006734,0.0006734,0.0006734
69,202.473,0.59077,0.40394,0.99284,0.90212,0.8408,0.90176,0.70135,0.85936,0.62705,1.23802,0.0006536,0.0006536,0.0006536
70,205.326,0.61122,0.39978,1.00951,0.89489,0.80597,0.89663,0.70432,0.87174,0.64371,1.24648,0.0006338,0.0006338,0.0006338
71,208.026,0.58081,0.41074,0.97193,0.86046,0.85898,0.90457,0.72596,0.84046,0.63272,1.21657,0.000614,0.000614,0.000614
72,211.381,0.59931,0.41132,1.00497,0.9122,0.8209,0.90003,0.71926,0.83068,0.64515,1.21517,0.0005942,0.0005942,0.0005942
73,214.067,0.5571,0.37392,0.96817,0.94057,0.801,0.89609,0.71515,0.83588,0.62996,1.22347,0.0005744,0.0005744,0.0005744
74,216.755,0.569,0.38247,0.96129,0.90004,0.85112,0.90601,0.72148,0.81201,0.61222,1.19542,0.0005546,0.0005546,0.0005546
75,219.444,0.56957,0.40672,0.98754,0.91795,0.80597,0.89166,0.72213,0.80238,0.63905,1.18038,0.0005348,0.0005348,0.0005348
76,222.095,0.59807,0.42792,1.00282,0.87965,0.80001,0.88426,0.7199,0.78648,0.68882,1.16964,0.000515,0.000515,0.000515
77,224.793,0.5596,0.39072,0.94784,0.89117,0.81592,0.87498,0.70591,0.78739,0.67274,1.18543,0.0004952,0.0004952,0.0004952
78,227.651,0.57873,0.46349,1.01003,0.91344,0.76119,0.85648,0.69436,0.8269,0.72572,1.23343,0.0004754,0.0004754,0.0004754
79,230.354,0.53219,0.35154,0.95812,0.88683,0.77976,0.85912,0.6995,0.83023,0.7241,1.24133,0.0004556,0.0004556,0.0004556
80,233.055,0.53127,0.36398,0.94236,0.91953,0.801,0.86426,0.69918,0.81407,0.6698,1.22384,0.0004358,0.0004358,0.0004358
81,235.76,0.53434,0.35529,0.95351,0.9055,0.83085,0.87802,0.7237,0.78209,0.63635,1.19291,0.000416,0.000416,0.000416
82,238.444,0.49499,0.33858,0.93395,0.90445,0.84766,0.88713,0.72798,0.7718,0.6242,1.17351,0.0003962,0.0003962,0.0003962
83,241.796,0.5474,0.36299,0.95497,0.90668,0.8408,0.89513,0.73567,0.78388,0.61525,1.18637,0.0003764,0.0003764,0.0003764
84,245.147,0.50229,0.3385,0.94216,0.8989,0.8405,0.90169,0.7411,0.79065,0.60801,1.19263,0.0003566,0.0003566,0.0003566
85,248.665,0.51524,0.34816,0.95872,0.90213,0.82548,0.88964,0.72946,0.79545,0.61694,1.21364,0.0003368,0.0003368,0.0003368
86,251.37,0.5116,0.33856,0.93345,0.89315,0.83176,0.89654,0.72893,0.79882,0.63211,1.21596,0.000317,0.000317,0.000317
87,254.066,0.5588,0.36469,0.99127,0.88968,0.84254,0.90511,0.74039,0.76733,0.60284,1.18283,0.0002972,0.0002972,0.0002972
88,256.758,0.52502,0.35067,0.96323,0.88843,0.8607,0.90602,0.74515,0.76469,0.58695,1.17311,0.0002774,0.0002774,0.0002774
89,260.117,0.48097,0.32228,0.93607,0.90792,0.83085,0.90435,0.73676,0.78451,0.59599,1.18472,0.0002576,0.0002576,0.0002576
90,262.812,0.51553,0.36451,0.97456,0.88526,0.84577,0.89934,0.72681,0.80288,0.60683,1.20446,0.0002378,0.0002378,0.0002378
91,266.904,0.4884,0.40205,0.9254,0.90926,0.82587,0.90171,0.73607,0.78401,0.61339,1.19696,0.000218,0.000218,0.000218
92,269.63,0.45295,0.36261,0.89612,0.90996,0.80452,0.89462,0.72871,0.77979,0.64718,1.19502,0.0001982,0.0001982,0.0001982
93,272.557,0.42476,0.29367,0.90173,0.87919,0.79653,0.88536,0.70813,0.78658,0.65279,1.2083,0.0001784,0.0001784,0.0001784
94,275.233,0.41424,0.27257,0.87417,0.88514,0.79602,0.88223,0.71008,0.79527,0.65415,1.21807,0.0001586,0.0001586,0.0001586
95,277.91,0.39721,0.26607,0.86437,0.87999,0.79602,0.88187,0.71414,0.80128,0.64231,1.22082,0.0001388,0.0001388,0.0001388
96,280.592,0.39219,0.25609,0.88387,0.8717,0.84506,0.8857,0.71676,0.79367,0.62879,1.21732,0.000119,0.000119,0.000119
97,283.281,0.40319,0.26066,0.87518,0.88798,0.8282,0.88773,0.71852,0.79921,0.63725,1.22036,9.92e-05,9.92e-05,9.92e-05
98,285.949,0.4058,0.25213,0.86614,0.88542,0.84577,0.88719,0.71934,0.79694,0.63521,1.21818,7.94e-05,7.94e-05,7.94e-05
99,288.782,0.39606,0.24947,0.87729,0.8774,0.85453,0.89365,0.72543,0.79545,0.63481,1.21645,5.96e-05,5.96e-05,5.96e-05
100,291.465,0.37084,0.23152,0.85694,0.89344,0.8343,0.89405,0.72879,0.79852,0.6271,1.21807,3.98e-05,3.98e-05,3.98e-05
