epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.91214,0.75452,2.79902,1.04492,0.95695,0.39062,0.48598,0.42997,0.54577,1.11696,0.85043,1.667e-05,1.667e-05,1.667e-05
2,6.76114,0.76376,2.96876,1.04529,0.92943,0.39583,0.47933,0.42308,0.54989,1.12574,0.85187,4.95149e-05,4.95149e-05,4.95149e-05
3,7.62243,0.76028,2.44849,1.04144,0.94306,0.5,0.56914,0.50425,0.46134,2.86955,0.83292,8.16997e-05,8.16997e-05,8.16997e-05
4,10.0924,0.53665,0.77485,0.87207,0.69502,0.78113,0.81054,0.69651,0.49741,1.13474,0.84986,0.000113224,0.000113224,0.000113224
5,11.9969,0.5736,0.54861,0.86801,0.56402,0.78108,0.65656,0.55506,0.51861,1.75856,0.85936,0.000144089,0.000144089,0.000144089
6,13.2485,0.57125,0.44751,0.86234,0.57208,0.6935,0.73256,0.6173,0.52723,2.51084,0.87752,0.000174293,0.000174293,0.000174293
7,14.4955,0.56005,0.43312,0.86737,0.77787,0.54167,0.57305,0.48473,0.54991,2.21593,0.88924,0.000203837,0.000203837,0.000203837
8,15.7441,0.56381,0.40176,0.88522,0.8316,0.83542,0.89327,0.75897,0.57328,1.20627,0.89509,0.000232722,0.000232722,0.000232722
9,17.6137,0.5889,0.40841,0.88045,0.94654,0.89604,0.95218,0.7935,0.56081,0.94191,0.88069,0.000260946,0.000260946,0.000260946
10,19.4867,0.54349,0.37912,0.86967,0.82877,0.875,0.92856,0.77468,0.57631,0.93738,0.87618,0.000288509,0.000288509,0.000288509
11,20.813,0.56787,0.38322,0.8646,0.74631,0.79167,0.84387,0.70872,0.56317,1.05428,0.87715,0.000315413,0.000315413,0.000315413
12,21.9867,0.53092,0.38723,0.86132,0.69676,0.75612,0.84016,0.70712,0.56941,1.1188,0.88193,0.000341657,0.000341657,0.000341657
13,23.1969,0.56024,0.40233,0.86786,0.5981,0.72422,0.79085,0.66622,0.5708,0.97091,0.87803,0.00036724,0.00036724,0.00036724
14,24.4077,0.52924,0.36626,0.86528,0.88536,0.75,0.92167,0.76847,0.55992,0.71092,0.87842,0.000392163,0.000392163,0.000392163
15,25.6207,0.52141,0.3617,0.85076,0.90602,0.89246,0.98695,0.81543,0.54842,0.69205,0.87514,0.000416427,0.000416427,0.000416427
16,27.4902,0.5609,0.40445,0.87575,0.93006,0.95503,0.99192,0.82828,0.56176,0.61448,0.88229,0.00044003,0.00044003,0.00044003
17,29.3677,0.55465,0.34923,0.86348,0.87636,0.83333,0.92024,0.75456,0.59638,0.59564,0.90112,0.000462973,0.000462973,0.000462973
18,30.5763,0.55628,0.39736,0.87765,0.85518,0.83333,0.91639,0.75133,0.5894,0.46906,0.89519,0.000485255,0.000485255,0.000485255
19,31.9266,0.55743,0.35969,0.8729,0.97791,0.95833,0.98795,0.81595,0.60466,0.37637,0.90319,0.000506878,0.000506878,0.000506878
20,33.1287,0.52422,0.34498,0.86302,0.98095,0.99364,0.995,0.82331,0.58624,0.39496,0.88852,0.000527841,0.000527841,0.000527841
21,34.3309,0.51164,0.33246,0.85594,0.9902,0.98974,0.995,0.827,0.56556,0.34715,0.87565,0.000548143,0.000548143,0.000548143
22,35.5407,0.52347,0.34432,0.86082,0.92553,0.83604,0.94982,0.7945,0.58022,0.54229,0.87873,0.000567785,0.000567785,0.000567785
23,36.7517,0.54085,0.36859,0.86855,0.79967,0.75592,0.84484,0.70388,0.53739,0.71611,0.86433,0.000586767,0.000586767,0.000586767
24,37.9644,0.56612,0.37722,0.86173,0.99223,0.94792,0.98899,0.81355,0.56739,0.4352,0.87422,0.000605089,0.000605089,0.000605089
25,39.1874,0.5532,0.34721,0.89302,0.85248,0.96013,0.96736,0.81738,0.54676,0.48974,0.87221,0.000622751,0.000622751,0.000622751
26,40.3996,0.54186,0.35658,0.86769,0.93974,0.91915,0.94102,0.78506,0.55354,0.45796,0.87086,0.000639753,0.000639753,0.000639753
27,41.5623,0.55532,0.33058,0.86612,0.91976,0.75,0.79234,0.6676,0.55004,0.50149,0.8688,0.000656095,0.000656095,0.000656095
28,42.8924,0.51625,0.36064,0.86732,0.91976,0.75,0.79234,0.6676,0.55004,0.50149,0.8688,0.000671776,0.000671776,0.000671776
29,44.0953,0.53155,0.35687,0.86012,0.97879,0.87673,0.91332,0.75015,0.57925,0.46538,0.88251,0.000686797,0.000686797,0.000686797
30,45.3091,0.52652,0.342,0.85202,0.98661,0.95833,0.96191,0.80885,0.5576,0.44174,0.8741,0.000701159,0.000701159,0.000701159
31,46.4924,0.49914,0.35132,0.86073,0.98661,0.95833,0.96191,0.80885,0.5576,0.44174,0.8741,0.00071486,0.00071486,0.00071486
32,47.6864,0.5193,0.33427,0.86406,0.97487,0.95608,0.98423,0.82605,0.59363,0.38201,0.88335,0.000727901,0.000727901,0.000727901
33,48.895,0.55035,0.33306,0.88057,0.9282,0.97149,0.96777,0.81289,0.54524,0.41533,0.86432,0.000740281,0.000740281,0.000740281
34,50.0811,0.51167,0.33856,0.85921,0.9282,0.97149,0.96777,0.81289,0.54524,0.41533,0.86432,0.000752002,0.000752002,0.000752002
35,51.4407,0.50997,0.3325,0.8436,0.71594,0.91319,0.91754,0.73834,0.5267,0.62813,0.86396,0.000763063,0.000763063,0.000763063
36,52.6459,0.52953,0.33434,0.8681,0.59772,0.86836,0.94944,0.77897,0.58619,1.24083,0.88089,0.000773463,0.000773463,0.000773463
37,53.8314,0.49665,0.3253,0.84441,0.59772,0.86836,0.94944,0.77897,0.58619,1.24083,0.88089,0.000783203,0.000783203,0.000783203
38,55.0391,0.51345,0.32997,0.85474,0.54217,0.84896,0.91908,0.75202,0.58947,1.74955,0.87702,0.000792283,0.000792283,0.000792283
39,56.2502,0.5099,0.32014,0.85314,0.71871,0.86284,0.97836,0.77996,0.54571,0.62984,0.85685,0.000800703,0.000800703,0.000800703
40,57.4389,0.50737,0.32961,0.85419,0.71871,0.86284,0.97836,0.77996,0.54571,0.62984,0.85685,0.000808463,0.000808463,0.000808463
