epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.6337,1.179,3.49154,1.53583,0.00792,0.36538,0.02209,0.00958,0.82226,3.45269,1.26388,2e-05,2e-05,2e-05
2,2.46653,1.28759,3.48196,1.6106,0.00792,0.36538,0.02087,0.00862,0.82821,3.45831,1.27022,5.9406e-05,5.9406e-05,5.9406e-05
3,3.2917,1.19256,3.43488,1.57548,0.00917,0.42308,0.02418,0.00914,0.83467,3.46775,1.28098,9.802e-05,9.802e-05,9.802e-05
4,4.17678,1.1509,2.76559,1.45477,0.38791,0.63462,0.51514,0.31678,1.30638,8.96061,1.70865,0.000135842,0.000135842,0.000135842
5,6.71349,0.95746,1.14744,1.18691,0.21431,0.6767,0.29734,0.20014,1.10797,9.35936,1.34697,0.000172872,0.000172872,0.000172872
6,7.94374,0.9343,0.94414,1.14856,0.5625,0.51923,0.44435,0.21308,1.66815,17.7826,2.06815,0.00020911,0.00020911,0.00020911
7,9.18767,0.99379,0.8247,1.18388,0.42245,0.55769,0.42088,0.29099,1.1682,6.35285,1.52019,0.000244556,0.000244556,0.000244556
8,10.4175,0.91653,0.82471,1.21317,0.52116,0.67308,0.58299,0.40205,1.20763,4.04466,1.67512,0.00027921,0.00027921,0.00027921
9,12.279,0.90641,0.79488,1.20184,0.45613,0.67308,0.56607,0.37325,1.20014,7.36698,1.62235,0.000313072,0.000313072,0.000313072
10,13.4848,0.84717,0.7064,1.14979,0.44319,0.71154,0.59152,0.39042,1.0706,6.31898,1.48392,0.000346142,0.000346142,0.000346142
11,14.695,0.82655,0.68728,1.10787,0.80952,0.32692,0.50492,0.35913,1.04007,6.67903,1.4198,0.00037842,0.00037842,0.00037842
12,16.0528,0.83212,0.66835,1.11866,0.41806,0.67308,0.52952,0.3602,1.12704,6.53345,1.55957,0.000409906,0.000409906,0.000409906
13,17.2513,0.78036,0.61113,1.09443,0.44476,0.67785,0.57866,0.38981,1.18721,6.46728,1.71523,0.0004406,0.0004406,0.0004406
14,18.4531,0.74654,0.58073,1.04977,0.77419,0.46154,0.55842,0.34904,1.2881,9.06428,1.88658,0.000470502,0.000470502,0.000470502
15,19.6513,0.83543,0.60008,1.11083,0.86957,0.38462,0.60695,0.38896,1.30674,9.83574,1.91997,0.000499612,0.000499612,0.000499612
16,20.8508,0.70956,0.54634,1.01529,0.39954,0.67308,0.49706,0.30199,1.40012,8.37466,2.05867,0.00052793,0.00052793,0.00052793
17,22.0522,0.70351,0.53981,0.98983,0.32592,0.61538,0.38906,0.22032,1.50432,8.83409,2.1936,0.000555456,0.000555456,0.000555456
18,23.2603,0.8496,0.68634,1.177,0.40531,0.63462,0.49757,0.32025,1.44809,5.76864,2.09495,0.00058219,0.00058219,0.00058219
19,24.6119,0.83952,0.63289,1.10446,0.54665,0.55769,0.54699,0.32573,1.47168,4.60248,2.14539,0.000608132,0.000608132,0.000608132
20,25.8155,0.81545,0.6455,1.1039,0.43421,0.44231,0.39121,0.21442,1.78947,6.87603,2.52804,0.000633282,0.000633282,0.000633282
21,27.0189,0.75496,0.63069,1.09895,0.53494,0.36538,0.35872,0.19096,1.90991,3.59315,2.58625,0.00065764,0.00065764,0.00065764
22,28.2196,0.68348,0.53241,1.02408,0.5579,0.57692,0.52566,0.29905,1.49508,3.56745,2.22871,0.000681206,0.000681206,0.000681206
23,29.3943,0.72603,0.55822,1.05878,0.33106,0.57692,0.3715,0.2198,1.6878,4.19048,2.34334,0.00070398,0.00070398,0.00070398
24,30.6032,0.70521,0.54349,1.0026,0.27912,0.38462,0.22852,0.12534,1.96912,2.74685,2.45482,0.000725962,0.000725962,0.000725962
25,31.8048,0.74406,0.61789,1.11044,0.4631,0.59615,0.45144,0.27034,1.53593,3.62535,2.23214,0.000747152,0.000747152,0.000747152
26,33.1655,0.76871,0.60925,1.07671,0.44517,0.67308,0.50098,0.27555,1.68613,7.30225,2.56239,0.00076755,0.00076755,0.00076755
27,34.3457,0.72721,0.53901,1.0509,0.06299,0.32692,0.03847,0.01812,2.37775,33.2466,6.96579,0.000787156,0.000787156,0.000787156
28,35.5311,0.78225,0.56981,1.09183,0.06299,0.32692,0.03847,0.01812,2.37775,33.2466,6.96579,0.00080597,0.00080597,0.00080597
29,36.7489,0.77388,0.58864,1.09725,0.07827,0.53846,0.06337,0.03309,1.74511,40.1657,2.51523,0.000823992,0.000823992,0.000823992
30,37.963,0.78332,0.52903,1.07776,0.07841,0.59615,0.066,0.03268,1.80185,48.7141,2.65512,0.000841222,0.000841222,0.000841222
31,39.1512,0.74019,0.55382,1.06737,0.07841,0.59615,0.066,0.03268,1.80185,48.7141,2.65512,0.00085766,0.00085766,0.00085766
32,40.3573,0.72314,0.51379,1.04027,0.21435,0.69231,0.26665,0.14975,1.56047,16.0778,2.44461,0.000873306,0.000873306,0.000873306
33,41.573,0.76445,0.54676,1.04431,0.2454,0.61538,0.31647,0.16419,1.89495,14.9695,2.91335,0.00088816,0.00088816,0.00088816
34,42.9094,0.72585,0.53182,1.06135,0.2454,0.61538,0.31647,0.16419,1.89495,14.9695,2.91335,0.000902222,0.000902222,0.000902222
35,44.1219,0.76325,0.53544,1.05472,0.2903,0.46154,0.29883,0.15123,1.76746,9.19273,2.48292,0.000915492,0.000915492,0.000915492
36,45.3245,0.74498,0.51342,1.06234,0.1617,0.36538,0.11015,0.04818,2.1002,11.8001,2.83104,0.00092797,0.00092797,0.00092797
37,46.5001,0.68176,0.48332,0.99404,0.1617,0.36538,0.11015,0.04818,2.1002,11.8001,2.83104,0.000939656,0.000939656,0.000939656
38,47.6934,0.66624,0.55096,1.04802,0.07539,0.15385,0.03131,0.01574,2.68237,12.7798,8.23678,0.00095055,0.00095055,0.00095055
